,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,vp_ice
0,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0.0,889.0,0,188.317,,,0.35,2.666,0,3.58,0,0,1,-119.242,3.838,-111.558,-11.523,0,0,0,0,0,0,6.138
1,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0.0,889.0,0,188.339,,,0.35,2.545,0,3.58,0,0,1,-127.243,2.559,-111.536,-18.266,0,0,0,0,0,0,6.138
2,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0.0,889.0,0,188.361,,,0.35,2.542,0,3.58,0,0,1,-126.111,1.279,-111.514,-15.877,0,0,0,0,0,0,6.138
3,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0.0,888.9,0,188.383,,,0.35,2.445,0,3.58,0,0,1,-124.584,0.0,-111.492,-13.093,0,0,0,0,0,0,6.138
4,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0.0,889.0,0,188.807,,,0.35,2.494,0,3.58,0,0,1,-124.293,0.0,-111.068,-13.225,0,0,0,0,0,0,6.138
5,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0.0,889.0,0,189.232,,,0.35,2.457,0,3.58,0,0,1,-127.665,0.0,-110.643,-17.022,0,0,0,0,0,0,6.138
6,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0.0,888.9,0,189.656,,,0.35,2.362,0,3.58,0,0,1,-127.73,0.0,-110.219,-17.511,0,0,0,0,0,0,6.138
7,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0.0,888.7,0,190.08,,,0.35,2.329,0,3.58,0,0,1,-124.193,0.0,-109.795,-14.399,0,0,0,0,0,0,6.138
8,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0.0,888.6,0,187.971,,,0.35,2.34,0,3.58,0,0,1,-126.17,0.0,-111.904,-14.266,0,0,0,0,0,0,6.138
9,2019-01-30 19:30:00,0.0,-11.0,90.0,0.5,0.0,0.0,0.0,888.6,0,185.862,,,0.35,2.374,0,3.58,0,0,1,-132.009,0.0,-114.013,-17.996,0,0,0,0,0,0,6.138
10,2019-01-30 19:45:00,0.0,-11.2,88.9,0.3,0.0,0.0,0.0,888.6,0,183.753,,,0.35,2.308,0,3.58,0,0,1,-127.116,0.0,-116.122,-10.994,0,0,0,0,0,0,6.138
11,2019-01-30 20:00:00,0.0,-11.2,87.7,0.4,0.0,0.0,0.0,888.4,0,181.644,,,0.35,2.277,0,3.58,0,0,1,-132.886,0.0,-118.231,-14.655,0,0,0,0,0,0,6.138
12,2019-01-30 20:15:00,0.0,-11.1,90.2,0.3,0.0,0.0,0.0,888.3,0,184.875,,,0.35,2.36,0,3.58,0,0,1,-125.892,0.0,-115.0,-10.892,0,0,0,0,0,0,6.138
13,2019-01-30 20:30:00,0.0,-11.2,88.0,0.6,0.0,0.0,0.0,888.3,0,188.106,,,0.35,2.285,0,3.58,0,0,1,-133.749,0.0,-111.769,-21.981,0,0,0,0,0,0,6.138
14,2019-01-30 20:45:00,0.0,-11.5,87.4,0.6,0.0,0.0,0.0,888.2,0,191.338,,,0.35,2.215,0,3.58,0,0,1,-131.104,0.0,-108.537,-22.567,0,0,0,0,0,0,6.138
15,2019-01-30 21:00:00,0.0,-11.6,89.6,0.4,0.0,0.0,0.0,888.0,0,194.569,,,0.35,2.253,0,3.58,0,0,1,-120.478,0.0,-105.306,-15.172,0,0,0,0,0,0,6.138
16,2019-01-30 21:15:00,0.0,-11.5,90.1,0.4,0.0,0.0,0.0,888.0,0,196.634,,,0.35,2.283,0,3.58,0,0,1,-118.282,0.0,-103.241,-15.041,0,0,0,0,0,0,6.138
17,2019-01-30 21:30:00,0.0,-11.6,90.2,0.5,0.0,0.0,0.0,888.1,0,198.7,,,0.35,2.268,0,3.58,0,0,1,-120.142,0.0,-101.175,-18.967,0,0,0,0,0,0,6.138
18,2019-01-30 21:45:00,0.0,-11.3,89.4,0.4,0.0,0.0,0.0,888.0,0,200.765,,,0.35,2.302,0,3.58,0,0,1,-113.889,0.0,-99.11,-14.78,0,0,0,0,0,0,6.138
19,2019-01-30 22:00:00,0.0,-11.1,89.8,0.4,0.0,0.0,0.0,887.8,0,202.831,,,0.35,2.35,0,3.58,0,0,1,-111.558,0.0,-97.044,-14.515,0,0,0,0,0,0,6.138
20,2019-01-30 22:15:00,0.0,-10.9,88.4,0.4,0.0,0.0,0.0,887.5,0,204.417,,,0.35,2.351,0,3.58,0,0,1,-109.706,0.0,-95.458,-14.248,0,0,0,0,0,0,6.138
21,2019-01-30 22:30:00,0.0,-10.9,88.7,0.4,0.0,0.0,0.0,887.3,0,206.003,,,0.35,2.359,0,3.58,0,0,1,-108.117,0.0,-93.872,-14.245,0,0,0,0,0,0,6.138
22,2019-01-30 22:45:00,0.0,-10.6,88.4,0.4,0.0,0.0,0.0,887.2,0,207.589,,,0.35,2.408,0,3.58,0,0,1,-106.137,0.0,-92.286,-13.852,0,0,0,0,0,0,6.138
23,2019-01-30 23:00:00,0.0,-10.9,88.1,0.4,0.0,0.0,0.0,887.1,0,209.175,,,0.35,2.343,0,3.58,0,0,1,-104.942,0.0,-90.7,-14.242,0,0,0,0,0,0,6.138
24,2019-01-30 23:15:00,0.0,-10.5,86.7,0.5,0.0,0.0,0.0,887.1,0,214.751,,,0.35,2.38,0,3.58,0,0,1,-102.273,0.0,-85.124,-17.149,0,0,0,0,0,0,6.138
25,2019-01-30 23:30:00,0.0,-10.0,90.3,0.4,0.0,0.0,0.0,886.9,0,220.328,,,0.35,2.58,0,3.58,0,0,1,-92.61,0.0,-79.547,-13.063,0,0,0,0,0,0,6.138
26,2019-01-30 23:45:00,0.0,-9.8,88.5,0.3,0.0,0.0,0.0,886.7,0,225.904,,,0.35,2.569,0,3.58,0,0,1,-83.57,0.0,-73.971,-9.599,0,0,0,0,0,0,6.138
27,2019-01-31 00:00:00,0.0,-9.4,88.1,0.5,0.0,0.0,0.0,886.6,0,231.48,,,0.35,2.639,0,3.58,0,0,1,-83.739,0.0,-68.395,-15.344,0,0,0,0,0,0,6.138
28,2019-01-31 00:15:00,0.0,-9.1,87.3,0.3,0.0,0.0,0.0,886.4,0,236.122,,,0.35,2.678,0,3.58,0,0,1,-72.663,0.0,-63.753,-8.911,0,0,0,0,0,0,6.138
29,2019-01-31 00:30:00,0.0,-9.0,88.2,0.4,0.0,0.0,0.0,886.6,0,240.764,,,0.35,2.727,0,3.58,0,0,1,-70.863,0.0,-59.111,-11.753,0,0,0,0,0,0,6.138
30,2019-01-31 00:45:00,0.0,-8.8,87.5,0.6,0.0,0.0,0.0,886.6,0,245.406,,,0.35,2.748,0,3.58,0,0,1,-71.706,0.0,-54.469,-17.238,0,0,0,0,0,0,6.138
31,2019-01-31 01:00:00,0.0,-8.5,88.0,0.3,0.0,0.0,0.0,886.5,0,250.048,,,0.35,2.829,0,3.58,0,0,1,-58.151,0.0,-49.827,-8.324,0,0,0,0,0,0,6.138
32,2019-01-31 01:15:00,0.0,-8.4,87.5,0.4,0.0,0.0,0.0,886.6,0,247.204,,,0.35,2.835,0,3.58,0,0,1,-63.64,0.0,-52.671,-10.969,0,0,0,0,0,0,6.138
33,2019-01-31 01:30:00,0.0,-8.1,88.3,0.4,0.0,0.0,0.0,886.7,0,244.36,,,0.35,2.929,0,3.58,0,0,1,-66.093,0.0,-55.515,-10.579,0,0,0,0,0,0,6.138
34,2019-01-31 01:45:00,0.0,-7.8,89.2,0.7,0.0,0.0,0.0,886.4,0,241.517,,,0.35,3.029,0,3.58,0,0,1,-76.179,0.0,-58.358,-17.821,0,0,0,0,0,0,6.138
35,2019-01-31 02:00:00,0.0,-7.4,89.5,0.3,0.0,0.0,0.0,886.2,0,238.673,,,0.35,3.135,0,3.58,0,0,1,-68.446,0.0,-61.202,-7.244,0,0,0,0,0,0,6.138
36,2019-01-31 02:15:00,0.0,-7.3,88.9,0.3,0.0,0.0,0.0,886.0,0,243.432,,,0.35,3.138,0,3.58,0,0,1,-63.587,0.0,-56.443,-7.145,0,0,0,0,0,0,6.138
37,2019-01-31 02:30:00,0.0,-7.3,89.3,0.3,0.0,0.0,0.0,885.8,0,248.192,,,0.35,3.152,0,3.58,0,0,1,-58.826,0.0,-51.683,-7.143,0,0,0,0,0,0,6.138
38,2019-01-31 02:45:00,0.0,-7.1,89.6,0.3,0.0,0.0,0.0,885.8,0,252.951,,,0.35,3.212,0,3.58,0,0,1,-53.871,0.0,-46.924,-6.948,0,0,0,0,0,0,6.138
39,2019-01-31 03:00:00,0.0,-7.0,89.7,0.4,0.0,0.0,0.0,886.0,0,257.71,,,0.35,3.241,0,3.58,0,0,1,-51.299,0.0,-42.165,-9.135,0,0,0,0,0,0,6.138
40,2019-01-31 03:15:00,0.0,-6.8,89.4,0.5,0.0,0.0,0.0,886.0,0,253.412,,,0.35,3.28,0,3.58,0,0,1,-57.555,0.0,-46.463,-11.092,0,0,0,0,0,0,6.138
41,2019-01-31 03:30:00,0.0,-6.6,89.8,0.4,0.0,0.0,0.0,886.0,0,249.114,,,0.35,3.346,0,3.58,0,0,1,-59.373,0.0,-50.761,-8.613,0,0,0,0,0,0,6.138
42,2019-01-31 03:45:00,0.0,-6.6,89.4,0.4,0.0,0.0,0.0,885.9,0,244.817,,,0.35,3.331,0,3.58,0,0,1,-63.669,0.0,-55.058,-8.612,0,0,0,0,0,0,6.138
43,2019-01-31 04:00:00,0.0,-6.6,89.1,0.3,0.0,0.0,0.0,885.8,0,240.519,,,0.35,3.32,0,3.58,0,0,1,-65.814,0.0,-59.356,-6.458,0,0,0,0,0,0,6.138
44,2019-01-31 04:15:00,0.0,-6.6,89.5,0.3,0.0,0.0,0.0,885.7,0,243.282,,,0.35,3.335,0,3.58,0,0,1,-63.05,0.0,-56.593,-6.458,0,0,0,0,0,0,6.138
45,2019-01-31 04:30:00,0.0,-6.5,89.4,0.4,0.0,0.0,0.0,885.7,0,246.045,,,0.35,3.357,0,3.58,0,0,1,-62.309,0.0,-53.83,-8.48,0,0,0,0,0,0,6.138
46,2019-01-31 04:45:00,0.0,-6.5,89.7,0.4,0.0,0.0,0.0,885.6,0,248.808,,,0.35,3.368,0,3.58,0,0,1,-59.545,0.0,-51.067,-8.479,0,0,0,0,0,0,6.138
47,2019-01-31 05:00:00,0.0,-6.4,89.8,0.3,0.0,0.0,0.0,885.6,0,251.571,,,0.35,3.398,0,3.58,0,0,1,-54.565,0.0,-48.304,-6.261,0,0,0,0,0,0,6.138
48,2019-01-31 05:15:00,0.0,-6.1,91.6,0.7,0.0,0.0,0.0,885.6,0,245.949,,,0.35,3.547,0,3.58,0,0,1,-67.85,0.0,-53.926,-13.924,0,0,0,0,0,0,6.138
49,2019-01-31 05:30:00,0.0,-5.5,91.7,0.9,0.0,0.0,0.0,885.4,0,240.328,,,0.35,3.717,0,3.58,0,0,1,-75.685,0.0,-59.547,-16.138,0,0,0,0,0,0,6.138
50,2019-01-31 05:45:00,0.0,-5.0,91.4,0.5,0.0,0.0,0.0,885.5,0,234.706,,,0.35,3.849,0,3.58,0,0,1,-73.32,0.0,-65.169,-8.152,0,0,0,0,0,0,6.138
51,2019-01-31 06:00:00,0.0,-4.6,90.8,0.3,0.0,0.0,0.0,885.5,0,229.084,,,0.35,3.941,0,3.58,0,0,1,-75.29,0.0,-70.791,-4.5,0,0,0,0,0,0,6.138
52,2019-01-31 06:15:00,0.0,-4.6,90.9,0.2,0.0,0.0,0.0,885.6,0,234.019,,,0.35,3.946,0,3.58,0,0,1,-68.856,0.0,-65.856,-3.0,0,0,0,0,0,0,6.138
53,2019-01-31 06:30:00,0.0,-4.5,91.0,0.8,0.0,0.0,0.0,885.7,0,238.954,,,0.35,3.98,0,3.58,0,0,1,-72.661,0.0,-60.921,-11.741,0,0,0,0,0,0,6.138
54,2019-01-31 06:45:00,0.0,-4.1,91.7,0.7,0.0,0.0,0.0,885.7,0,243.888,,,0.35,4.134,0,3.58,0,0,1,-65.347,0.0,-55.987,-9.36,0,0,0,0,0,0,6.138
55,2019-01-31 07:00:00,0.0,-3.9,90.9,0.8,0.0,0.0,0.0,885.9,0,248.823,,,0.35,4.16,0,3.58,0,0,1,-61.229,0.0,-51.052,-10.178,0,0,0,0,0,0,6.138
56,2019-01-31 07:15:00,0.035,-3.8,90.0,0.8,2.815,3.174,0.0,885.9,0,249.683,,,0.35,4.15,0,3.58,0,0,1,-56.215,3.893,-50.192,-9.917,0,0,0,0,0,0,6.138
57,2019-01-31 07:30:00,0.074,-3.6,89.3,0.9,5.63,6.349,0.0,886.1,0,250.543,,,0.35,4.18,0,3.58,0,0,1,-52.117,7.786,-49.332,-10.572,0,0,0,0,0,0,6.138
58,2019-01-31 07:45:00,0.111,-3.5,88.4,0.7,8.445,9.524,0.0,886.1,0,251.403,,,0.35,4.169,0,3.58,0,0,1,-44.786,11.68,-48.472,-7.994,0,0,0,0,0,0,6.138
59,2019-01-31 08:00:00,0.148,-3.4,88.4,0.7,11.26,12.698,0.0,886.1,0,252.263,,,0.35,4.2,0,3.58,0,0,1,-39.804,15.573,-47.612,-7.766,0,0,0,0,0,0,6.138
60,2019-01-31 08:15:00,0.183,-3.1,89.6,0.2,14.852,23.87,0.0,886.2,0,252.495,,,0.35,4.354,0,3.58,0,0,1,-24.233,25.169,-47.38,-2.023,0,0,0,0,0,0,6.138
61,2019-01-31 08:30:00,0.217,-3.1,89.3,0.6,18.444,35.043,0.0,886.3,0,252.728,,,0.35,4.339,0,3.58,0,0,1,-18.45,34.767,-47.147,-6.07,0,0,0,0,0,0,6.138
62,2019-01-31 08:45:00,0.249,-3.0,89.9,0.4,22.036,46.216,0.0,886.4,0,252.96,,,0.35,4.401,0,3.58,0,0,1,-6.467,44.364,-46.915,-3.917,0,0,0,0,0,0,6.138
63,2019-01-31 09:00:00,0.279,-2.7,89.5,0.3,25.628,57.388,0.0,886.4,0,253.192,,,0.35,4.481,0,0.0,0,0,1,4.634,53.96,-46.683,-2.644,0,0,0,0,0,0,6.138
64,2019-01-31 09:15:00,0.308,-2.5,88.5,0.1,49.115,66.316,0.0,886.3,0,251.907,,,0.35,4.497,0,0.0,0,0,1,26.247,75.03,-47.968,-0.816,0,0,0,0,0,0,6.138
65,2019-01-31 09:30:00,0.334,-2.4,86.3,0.5,72.602,75.245,0.0,886.3,0,250.622,,,0.35,4.418,0,0.0,0,0,1,42.932,96.101,-49.253,-3.916,0,0,0,0,0,0,6.138
66,2019-01-31 09:45:00,0.358,-1.9,83.1,0.2,96.089,84.174,0.0,886.3,0,249.336,,,0.35,4.415,0,0.0,0,0,1,65.392,117.171,-50.539,-1.24,0,0,0,0,0,0,6.138
67,2019-01-31 10:00:00,0.379,-2.1,82.3,0.2,119.576,93.102,0.0,886.2,0,248.051,,,0.35,4.308,0,0.0,0,0,1,85.047,138.241,-51.824,-1.371,0,0,0,0,0,0,6.138
68,2019-01-31 10:15:00,0.398,-1.6,83.2,0.2,147.142,99.876,0.0,886.1,0,239.427,,,0.35,4.519,0,0.0,0,0,1,99.07,160.562,-60.448,-1.044,0,0,0,0,0,0,6.138
69,2019-01-31 10:30:00,0.415,-1.0,80.7,0.2,174.709,106.651,0.0,886.0,0,230.803,,,0.35,4.581,0,0.0,0,0,1,113.16,182.884,-69.072,-0.652,0,0,0,0,0,0,6.138
70,2019-01-31 10:45:00,0.428,-1.6,82.0,0.2,202.275,113.426,0.0,885.8,0,222.179,,,0.35,4.454,0,0.0,0,0,1,126.466,205.206,-77.696,-1.044,0,0,0,0,0,0,6.138
71,2019-01-31 11:00:00,0.439,-1.7,84.5,0.2,229.841,120.2,0.0,885.5,0,213.555,,,0.35,4.556,0,0.0,0,0,1,140.098,227.527,-86.32,-1.109,0,0,0,0,0,0,6.138
72,2019-01-31 11:15:00,0.446,-1.1,82.5,0.7,240.96,121.629,0.0,885.2,0,217.948,,,0.35,4.649,0,0.0,0,0,1,151.246,235.683,-81.927,-2.51,0,0,0,0,0,0,6.138
73,2019-01-31 11:30:00,0.451,-0.7,83.8,0.7,252.078,123.059,0.0,885.0,0,222.341,,,0.35,4.863,0,0.0,0,0,1,164.709,243.839,-77.534,-1.597,0,0,0,0,0,0,6.138
74,2019-01-31 11:45:00,0.452,-0.7,80.5,0.7,263.197,124.488,0.0,884.6,0,226.734,,,0.35,4.671,0,0.0,0,0,1,177.259,251.995,-73.141,-1.596,0,0,0,0,0,0,6.138
75,2019-01-31 12:00:00,0.451,-1.0,82.9,0.8,274.316,125.917,0.0,884.4,0,231.127,,,0.35,4.706,0,0.0,0,0,1,188.799,260.151,-68.748,-2.605,0,0,0,0,0,0,6.138
76,2019-01-31 12:15:00,0.446,-1.2,82.3,0.5,251.966,132.114,0.0,884.1,0,232.275,,,0.35,4.604,0,0.0,0,0,1,180.099,249.652,-67.6,-1.953,0,0,0,0,0,0,6.138
77,2019-01-31 12:30:00,0.438,-1.0,82.2,0.6,229.616,138.312,0.0,884.1,0,233.424,,,0.35,4.666,0,0.0,0,0,1,170.749,239.153,-66.451,-1.953,0,0,0,0,0,0,6.138
78,2019-01-31 12:45:00,0.427,-1.2,82.0,0.9,207.267,144.51,0.0,884.0,0,234.572,,,0.35,4.587,0,0.0,0,0,1,159.837,228.655,-65.303,-3.516,0,0,0,0,0,0,6.138
79,2019-01-31 13:00:00,0.414,-1.2,82.0,0.6,184.917,150.707,0.0,884.0,0,235.72,,,0.35,4.587,0,0.0,0,0,1,151.657,218.156,-64.155,-2.344,0,0,0,0,0,0,6.138
80,2019-01-31 13:15:00,0.397,-1.2,81.5,0.9,160.132,145.638,0.0,884.2,0,239.797,,,0.35,4.559,0,0.0,0,0,1,135.157,198.75,-60.078,-3.516,0,0,0,0,0,0,6.138
81,2019-01-31 13:30:00,0.378,-1.2,80.8,0.5,135.346,140.568,0.0,884.3,0,243.873,,,0.35,4.52,0,0.0,0,0,1,121.389,179.344,-56.002,-1.954,0,0,0,0,0,0,6.138
82,2019-01-31 13:45:00,0.356,-1.2,80.1,0.3,110.561,135.498,0.0,884.1,0,247.95,,,0.35,4.481,0,0.0,0,0,1,106.842,159.938,-51.925,-1.172,0,0,0,0,0,0,6.138
